candidate_id,avg_return_pct,avg_max_dd_pct,score,ret_wins,dd_wins,both_wins,delta_avg_return_pct,delta_avg_max_dd_pct,strict_accept
C_sp5.0_rv75_tr1.15_th1.10,345.4701,26.5375,318.9326,4,1,1,42.0291,-0.1075,True
C_sp5.0_rv80_tr1.15_th1.10,345.4701,26.5375,318.9326,4,1,1,42.0291,-0.1075,True
C_sp5.0_rv85_tr1.15_th1.10,345.4701,26.5375,318.9326,4,1,1,42.0291,-0.1075,True
C_sp5.0_rv90_tr1.15_th1.10,345.4701,26.5375,318.9326,4,1,1,42.0291,-0.1075,True
C_sp5.2_rv70_tr1.25_th1.15,343.4238,26.2225,317.2013,3,2,2,39.9827,-0.4225,True
C_sp5.0_rv70_tr1.15_th1.10,343.2889,26.5375,316.7514,4,1,1,39.8479,-0.1075,True
C_sp5.5_rv75_tr1.25_th1.15,342.7291,26.2675,316.4616,3,2,2,39.288,-0.3775,True
C_sp5.5_rv80_tr1.25_th1.15,342.7291,26.2675,316.4616,3,2,2,39.288,-0.3775,True
C_sp5.5_rv85_tr1.25_th1.15,342.7291,26.2675,316.4616,3,2,2,39.288,-0.3775,True
C_sp5.5_rv90_tr1.25_th1.15,342.7291,26.2675,316.4616,3,2,2,39.288,-0.3775,True
C_sp5.2_rv75_tr1.15_th1.10,342.0201,26.5675,315.4526,4,1,1,38.579,-0.0775,True
C_sp5.2_rv80_tr1.15_th1.10,342.0201,26.5675,315.4526,4,1,1,38.579,-0.0775,True
C_sp5.2_rv85_tr1.15_th1.10,342.0201,26.5675,315.4526,4,1,1,38.579,-0.0775,True
C_sp5.2_rv90_tr1.15_th1.10,342.0201,26.5675,315.4526,4,1,1,38.579,-0.0775,True
C_sp4.8_rv75_tr1.05_th1.10,341.2858,26.605,314.6808,4,2,2,37.8448,-0.04,True
C_sp4.8_rv80_tr1.05_th1.10,341.2858,26.605,314.6808,4,2,2,37.8448,-0.04,True
C_sp4.8_rv85_tr1.05_th1.10,341.2858,26.605,314.6808,4,2,2,37.8448,-0.04,True
C_sp4.8_rv90_tr1.05_th1.10,341.2858,26.605,314.6808,4,2,2,37.8448,-0.04,True
C_sp5.5_rv70_tr1.25_th1.15,340.0834,26.2675,313.8159,3,2,2,36.6424,-0.3775,True
C_sp4.8_rv75_tr1.10_th1.05,339.9755,26.4325,313.543,3,2,2,36.5345,-0.2125,True
C_sp4.8_rv80_tr1.10_th1.05,339.9755,26.4325,313.543,3,2,2,36.5345,-0.2125,True
C_sp4.8_rv85_tr1.10_th1.05,339.9755,26.4325,313.543,3,2,2,36.5345,-0.2125,True
C_sp4.8_rv90_tr1.10_th1.05,339.9755,26.4325,313.543,3,2,2,36.5345,-0.2125,True
C_sp5.2_rv70_tr1.15_th1.10,339.6381,26.5675,313.0707,4,1,1,36.1971,-0.0775,True
