Variant,Date,Day Start Equity,Start Ticker,Intraday Switch Time,Intraday Switch,Buy Time,Buy Ticker,End-of-Day Ticker,Day End Equity,PnL ($),Return %,Drawdown %,Sell Time Price,Buy Time Price
OV_sh6_h1_dd0w20_re1_SOXS,2026-03-05,34341.39,SOXS,13:43,SOXS,15:55,SOXS,SOXS,36877.45,2536.06,7.38,14.47,41.72,40.4
OV_sh6_h1_dd0w20_re1_SOXS,2026-03-06,36877.45,SOXS,09:30,SOXS,15:55,SOXL,SOXL,39091.86,2214.41,6.0,9.33,43.2286,47.66
OV_sh6_h1_dd0w20_re1_SOXS,2026-03-09,39091.86,SOXL,15:43,SOXL,15:55,SOXS,SOXS,43132.55,4040.69,10.34,0.0,52.805,40.22
OV_sh6_h1_dd0w20_re1_SOXS,2026-03-10,43132.55,SOXS,04:36,SOXS,15:55,SOXL,SOXL,41079.02,-2053.53,-4.76,4.76,38.32,54.165
OV_sh6_h1_dd0w20_re1_SOXS,2026-03-11,41079.02,SOXL,no change,no change,15:55,SOXS,SOXS,42549.4,1470.38,3.58,1.35,,37.8201
OV_sh6_h1_dd0w20_re1_SOXS,2026-03-12,42549.4,SOXS,10:02,SOXS,15:55,SOXL,SOXL,45852.17,3302.77,7.76,0.0,40.685,50.09
OV_sh6_h1_dd0w20_re1_SOXS,2026-03-13,45852.17,SOXL,no change,no change,15:55,SOXS,SOXS,46163.32,311.15,0.68,0.0,,41.615
OV_sh6_h1_dd0w20_re1_SOXS,2026-03-16,46163.32,SOXS,06:42,SOXS,15:55,SOXL,SOXL,43976.37,-2186.95,-4.74,4.74,39.66,53.71
OV_sh6_h1_dd0w20_re1_SOXS,2026-03-17,43976.37,SOXL,no change,no change,no change,no change,SOXL,44860.65,884.28,2.01,2.82,,
OV_sh6_h1_dd0w20_re1_SOXS,2026-03-18,44860.65,SOXL,no change,no change,no change,no change,SOXL,44590.45,-270.2,-0.6,3.41,,
OV_sh6_h1_dd0w20_re1_SOXS,2026-03-19,44590.45,SOXL,no change,no change,no change,no change,SOXL,45024.4,433.95,0.97,2.47,,
OV_sh6_h1_dd0w20_re1_SOXS,2026-03-20,45024.4,SOXL,no change,no change,no change,no change,SOXL,41548.7,-3475.7,-7.72,10.0,,
OV_sh6_h1_dd0w20_re1_SOXS,2026-03-23,41548.7,SOXL,10:50,SOXL,15:55,SOXS,SOXS,45482.15,3933.45,9.47,1.48,55.76,38.94
OV_sh6_h1_dd0w20_re1_SOXS,2026-03-24,45482.15,SOXS,11:24,SOXS,no change,no change,CASH,43327.51,-2154.64,-4.74,6.14,36.815,
OV_sh6_h1_dd0w20_re1_SOXS,2026-03-25,43327.51,CASH,no change,no change,15:55,SOXS,SOXS,43323.18,-4.33,-0.01,6.15,,36.015
OV_sh6_h1_dd0w20_re1_SOXS,2026-03-26,43323.18,SOXS,11:46,SOXS,15:55,SOXL,SOXL,46990.03,3666.85,8.46,0.0,38.99,48.99
OV_sh6_h1_dd0w20_re1_SOXS,2026-03-27,46990.03,SOXL,no change,no change,15:55,SOXS,SOXS,44679.07,-2310.96,-4.92,4.92,,43.17
OV_sh6_h1_dd0w20_re1_SOXS,2026-03-30,44679.07,SOXS,10:59,SOXS,15:55,SOXS,SOXS,48109.76,3430.7,7.68,0.0,46.4601,48.58
OV_sh6_h1_dd0w20_re1_SOXS,2026-03-31,48109.76,SOXS,08:01,SOXS,no change,no change,CASH,45837.35,-2272.42,-4.72,4.72,46.29,
OV_sh6_h1_dd0w20_re1_SOXS,2026-04-01,45837.35,CASH,no change,no change,15:55,SOXL,SOXL,45832.76,-4.58,-0.01,4.73,,52.205
OV_sh6_h1_dd0w20_re1_SOXS,2026-04-02,45832.76,SOXL,no change,no change,no change,no change,SOXL,46324.41,491.65,1.07,3.71,,
OV_sh6_h1_dd0w20_re1_SOXS,2026-04-06,46324.41,SOXL,no change,no change,no change,no change,SOXL,48027.61,1703.2,3.68,0.17,,
OV_sh6_h1_dd0w20_re1_SOXS,2026-04-07,48027.61,SOXL,19:33,SOXL,15:55,SOXL,SOXL,55430.24,7402.63,15.41,0.0,63.06,56.375
OV_sh6_h1_dd0w20_re1_SOXS,2026-04-08,55430.24,SOXL,07:15,SOXL,15:55,SOXL,SOXL,64213.1,8782.86,15.84,0.0,65.3,67.35
OV_sh6_h1_dd0w20_re1_SOXS,2026-04-09,64213.1,SOXL,no change,no change,no change,no change,SOXL,68575.01,4361.91,6.79,0.0,,
OV_sh6_h1_dd0w20_re1_SOXS,2026-04-10,68575.01,SOXL,no change,no change,no change,no change,SOXL,72874.95,4299.94,6.27,0.0,,
