Date,Day Start Equity,Start Ticker,Intraday Switch Time,Intraday Switch,Buy Time,Buy Ticker,End-of-Day Ticker,Day End Equity,PnL ($),Return %,Drawdown %,Sell Time Price,Buy Time Price
2026-01-28,11118.32,SOXL,04:00,SOXL,15:55,SOXL,SOXL,12007.3,888.98,8.0,27.52,70.78,70.055
2026-01-29,12007.3,SOXL,no change,no change,no change,no change,SOXL,12042.43,35.14,0.29,27.31,,
2026-01-30,12042.43,SOXL,no change,no change,no change,no change,SOXL,10587.26,-1455.17,-12.08,36.09,,
2026-02-02,10587.26,SOXL,14:59,SOXL,15:55,SOXL,SOXL,11241.68,654.41,6.18,32.14,65.125,64.9767
2026-02-03,11241.68,SOXL,no change,no change,no change,no change,SOXL,10537.23,-704.45,-6.27,36.4,,
2026-02-04,10537.23,SOXL,no change,no change,no change,no change,SOXL,9238.8,-1298.43,-12.32,44.23,,
2026-02-05,9238.8,SOXL,no change,no change,no change,no change,SOXL,9154.01,-84.79,-0.92,44.75,,
2026-02-06,9154.01,SOXL,07:12,SOXL,15:55,SOXL,SOXL,9764.16,610.16,6.67,41.06,56.48,61.91
2026-02-09,9764.16,SOXL,no change,no change,no change,no change,SOXL,10104.04,339.88,3.48,39.01,,
2026-02-10,10104.04,SOXL,no change,no change,no change,no change,SOXL,9990.03,-114.01,-1.13,39.7,,
2026-02-11,9990.03,SOXL,09:57,SOXL,15:55,SOXL,SOXL,10677.27,687.24,6.88,35.55,67.66,68.235
2026-02-12,10677.27,SOXL,no change,no change,no change,no change,SOXL,9890.97,-786.3,-7.36,40.3,,
2026-02-13,9890.97,SOXL,no change,no change,no change,no change,SOXL,10060.74,169.78,1.72,39.27,,
2026-02-17,10060.74,SOXL,no change,no change,no change,no change,SOXL,10051.36,-9.39,-0.09,39.33,,
2026-02-18,10051.36,SOXL,no change,no change,no change,no change,SOXL,10395.61,344.25,3.42,37.25,,
2026-02-19,10395.61,SOXL,no change,no change,no change,no change,SOXL,10153.07,-242.54,-2.33,38.72,,
2026-02-20,10153.07,SOXL,no change,no change,no change,no change,SOXL,10451.16,298.09,2.94,36.92,,
2026-02-23,10451.16,SOXL,no change,no change,no change,no change,SOXL,10216.82,-234.34,-2.24,38.33,,
2026-02-24,10216.82,SOXL,no change,no change,no change,no change,SOXL,10743.77,526.95,5.16,35.15,,
2026-02-25,10743.77,SOXL,no change,no change,no change,no change,SOXL,11250.76,506.99,4.72,32.09,,
2026-02-26,11250.76,SOXL,no change,no change,no change,no change,SOXL,10188.27,-1062.48,-9.44,38.5,,
2026-02-27,10188.27,SOXL,no change,no change,15:55,SOXS,SOXS,9792.77,-395.5,-3.88,40.89,,1.7999
2026-03-02,9792.77,SOXS,no change,no change,no change,no change,SOXS,9793.32,0.54,0.01,40.89,,
2026-03-03,9793.32,SOXS,no change,no change,no change,no change,SOXS,11262.52,1469.2,15.0,32.02,,
2026-03-04,11262.52,SOXS,no change,no change,no change,no change,SOXS,10528.12,-734.39,-6.52,36.45,,
2026-03-05,10528.12,SOXS,13:08,SOXS,15:55,SOXS,SOXS,11328.73,800.61,7.6,31.62,41.76,40.4
2026-03-06,11328.73,SOXS,09:30,SOXS,15:55,SOXL,SOXL,12033.55,704.83,6.22,27.36,43.2286,47.66
