Variant,Date,Day Start Equity,Start Ticker,Intraday Switch Time,Intraday Switch,Buy Time,Buy Ticker,End-of-Day Ticker,Day End Equity,PnL ($),Return %,Drawdown %,Sell Time Price,Buy Time Price
G1-570248,2025-09-15,14534.75,SOXL,no change,no change,no change,no change,SOXL,14812.0,277.25,1.91,0.0,,
G1-570248,2025-09-16,14812.0,SOXL,no change,no change,no change,no change,SOXL,15128.76,316.76,2.14,0.0,,
G1-570248,2025-09-17,15128.76,SOXL,no change,no change,no change,no change,SOXL,15130.34,1.58,0.01,0.0,,
G1-570248,2025-09-18,15130.34,SOXL,no change,no change,no change,no change,SOXL,16643.69,1513.35,10.0,0.0,,
G1-570248,2025-09-19,16643.69,SOXL,no change,no change,no change,no change,SOXL,16309.54,-334.15,-2.01,2.01,,
G1-570248,2025-09-22,16309.54,SOXL,no change,no change,no change,no change,SOXL,17084.27,774.74,4.75,0.0,,
G1-570248,2025-09-23,17084.27,SOXL,no change,no change,no change,no change,SOXL,16977.85,-106.42,-0.62,0.62,,
G1-570248,2025-09-24,16977.85,SOXL,no change,no change,no change,no change,SOXL,16863.99,-113.86,-0.67,1.29,,
G1-570248,2025-09-25,16863.99,SOXL,no change,no change,no change,no change,SOXL,16717.95,-146.04,-0.87,2.14,,
G1-570248,2025-09-26,16717.95,SOXL,no change,no change,no change,no change,SOXL,16821.91,103.96,0.62,1.54,,
G1-570248,2025-09-29,16821.91,SOXL,no change,no change,no change,no change,SOXL,16856.56,34.65,0.21,1.33,,
G1-570248,2025-09-30,16856.56,SOXL,no change,no change,no change,no change,SOXL,17205.57,349.01,2.07,0.0,,
G1-570248,2025-10-01,17205.57,SOXL,no change,no change,no change,no change,SOXL,18252.61,1047.04,6.09,0.0,,
G1-570248,2025-10-02,18252.61,SOXL,no change,no change,no change,no change,SOXL,19319.45,1066.84,5.84,0.0,,
G1-570248,2025-10-03,19319.45,SOXL,no change,no change,no change,no change,SOXL,18945.68,-373.77,-1.93,1.93,,
G1-570248,2025-10-06,18945.68,SOXL,09:33,SOXL,15:55,SOXL,SOXL,20926.14,1980.45,10.45,0.0,42.3693,41.8197
G1-570248,2025-10-07,20926.14,SOXL,no change,no change,no change,no change,SOXL,19475.16,-1450.98,-6.93,6.93,,
