Window,Profile,Scenario,CPU Final Equity,CPU Return %,CPU Max Drawdown %,CPU Trades,Delta Return % vs S0,Delta Final Equity vs S0,Delta Trades vs S0,GPU Final Equity,GPU Return %,GPU Max Drawdown %,GPU Trades,CPU-GPU Diff (bps),Start Equity,Start Date,End Date,Data Source,GPU Backend
6m,aggr_adapt_t10_tr2_rv14_b85_m8_M30,S2_sequence_rebalance_then_profit,33668.56235278712,236.6856235278712,36.41597191220989,52,-90.1773601614529,-9017.736016145289,-9,33668.56235278712,236.6856235278712,36.41597191220989,52,0.0,10000.0,2025-09-19,2026-03-19,yfinance,cpu_emulated_fallback
6m,aggr_adapt_t10_tr2_rv14_b85_m8_M30,S3_anchor_off,40756.539550130256,307.5653955013026,36.85936000695815,60,-19.297588188021507,-1929.7588188021546,-1,40756.539550130256,307.5653955013026,36.85936000695815,60,0.0,10000.0,2025-09-19,2026-03-19,yfinance,cpu_emulated_fallback
6m,aggr_adapt_t10_tr2_rv14_b85_m8_M30,S4_zero_costs,42930.30481413003,329.30304814130034,36.82146425524737,61,2.440064451976241,244.00644519762136,0,42930.30481413003,329.30304814130034,36.82146425524737,61,0.0,10000.0,2025-09-19,2026-03-19,yfinance,cpu_emulated_fallback
6m,aggr_adapt_t10_tr2_rv14_b85_m8_M30,S5_profit_exec_market_close,20580.98587736977,105.80985877369771,39.155239492837865,59,-221.05312491562637,-22105.31249156264,-2,20580.98587736977,105.80985877369771,39.155239492837865,59,0.0,10000.0,2025-09-19,2026-03-19,yfinance,cpu_emulated_fallback
6m,aggr_adapt_t10_tr2_rv14_b85_m8_M30,S6_runtime_like_bundle,19650.56228680134,96.5056228680134,39.15523949283786,57,-230.3573608213107,-23035.73608213107,-4,19650.56228680134,96.5056228680134,39.15523949283786,57,0.0,10000.0,2025-09-19,2026-03-19,yfinance,cpu_emulated_fallback
1y,original_composer,S0_prev_like_baseline,33698.36962852483,236.9836962852483,39.118721682164164,230,0.0,0.0,0,33698.36962852483,236.9836962852483,39.118721682164164,230,0.0,10000.0,2025-03-19,2026-03-19,yfinance,cpu_emulated_fallback
1y,original_composer,S1_threshold_5pct,34242.66331975625,242.42663319756247,39.11872168216416,100,5.442936912314167,544.293691231418,-130,34242.66331975625,242.42663319756247,39.11872168216416,100,0.0,10000.0,2025-03-19,2026-03-19,yfinance,cpu_emulated_fallback
1y,original_composer,S2_sequence_rebalance_then_profit,33698.36962852483,236.9836962852483,39.118721682164164,230,0.0,0.0,0,33698.36962852483,236.9836962852483,39.118721682164164,230,0.0,10000.0,2025-03-19,2026-03-19,yfinance,cpu_emulated_fallback
1y,original_composer,S3_anchor_off,33751.42908903917,237.51429089039172,39.118721682164164,232,0.5305946051434205,53.05946051434148,2,33751.42908903917,237.51429089039172,39.118721682164164,232,0.0,10000.0,2025-03-19,2026-03-19,yfinance,cpu_emulated_fallback
1y,original_composer,S4_zero_costs,33919.04899341954,239.19048993419545,39.10654420875326,235,2.206793648947155,220.67936489471322,5,33919.04899341954,239.19048993419545,39.10654420875326,235,0.0,10000.0,2025-03-19,2026-03-19,yfinance,cpu_emulated_fallback
1y,original_composer,S5_profit_exec_market_close,33698.36962852483,236.9836962852483,39.118721682164164,230,0.0,0.0,0,33698.36962852483,236.9836962852483,39.118721682164164,230,0.0,10000.0,2025-03-19,2026-03-19,yfinance,cpu_emulated_fallback
1y,original_composer,S6_runtime_like_bundle,34308.047734068066,243.0804773406807,39.118721682164164,100,6.096781055432388,609.6781055432366,-130,34308.047734068066,243.0804773406807,39.118721682164164,100,0.0,10000.0,2025-03-19,2026-03-19,yfinance,cpu_emulated_fallback
1y,trailing12_4_adapt,S0_prev_like_baseline,54646.63403953485,446.46634039534854,38.77875144411606,252,0.0,0.0,0,54646.63403953485,446.46634039534854,38.77875144411606,252,0.0,10000.0,2025-03-19,2026-03-19,yfinance,cpu_emulated_fallback
1y,trailing12_4_adapt,S1_threshold_5pct,55529.282621131846,455.2928262113185,38.778751444116075,122,8.826485815969988,882.6485815969936,-130,55529.282621131846,455.2928262113185,38.778751444116075,122,0.0,10000.0,2025-03-19,2026-03-19,yfinance,cpu_emulated_fallback
1y,trailing12_4_adapt,S2_sequence_rebalance_then_profit,35218.868119020684,252.18868119020686,43.46311096524,247,-194.27765920514167,-19427.765920514168,-5,35218.868119020684,252.18868119020686,43.46311096524,247,0.0,10000.0,2025-03-19,2026-03-19,yfinance,cpu_emulated_fallback
1y,trailing12_4_adapt,S3_anchor_off,54732.67739869512,447.3267739869512,38.77875144411607,255,0.8604335916026571,86.04335916027048,3,54732.67739869512,447.3267739869512,38.77875144411607,255,0.0,10000.0,2025-03-19,2026-03-19,yfinance,cpu_emulated_fallback
1y,trailing12_4_adapt,S4_zero_costs,55125.639691205455,451.2563969120546,38.75425804625909,255,4.790056516706045,479.0056516706027,3,55125.639691205455,451.2563969120546,38.75425804625909,255,0.0,10000.0,2025-03-19,2026-03-19,yfinance,cpu_emulated_fallback
1y,trailing12_4_adapt,S5_profit_exec_market_close,33624.314705379475,236.24314705379476,39.143069323719516,257,-210.22319334155378,-21022.319334155378,5,33624.314705379475,236.24314705379476,39.143069323719516,257,0.0,10000.0,2025-03-19,2026-03-19,yfinance,cpu_emulated_fallback
1y,trailing12_4_adapt,S6_runtime_like_bundle,34232.65299342574,242.3265299342574,39.14306932371952,122,-204.13981046109114,-20413.98104610911,-130,34232.65299342574,242.3265299342574,39.14306932371952,122,0.0,10000.0,2025-03-19,2026-03-19,yfinance,cpu_emulated_fallback
1y,aggr_adapt_t10_tr2_rv14_b85_m8_M30,S0_prev_like_baseline,82305.85591621624,723.0585591621624,36.859360006958134,272,0.0,0.0,0,82305.85591621624,723.0585591621624,36.859360006958134,272,0.0,10000.0,2025-03-19,2026-03-19,yfinance,cpu_emulated_fallback
1y,aggr_adapt_t10_tr2_rv14_b85_m8_M30,S1_threshold_5pct,82898.81342907621,728.9881342907622,36.859360006958156,140,5.929575128599822,592.9575128599681,-132,82898.81342907621,728.9881342907622,36.859360006958156,140,0.0,10000.0,2025-03-19,2026-03-19,yfinance,cpu_emulated_fallback
1y,aggr_adapt_t10_tr2_rv14_b85_m8_M30,S2_sequence_rebalance_then_profit,58559.95757186209,485.5995757186209,36.41597191220988,260,-237.4589834435415,-23745.89834435415,-12,58559.95757186209,485.5995757186209,36.41597191220988,260,0.0,10000.0,2025-03-19,2026-03-19,yfinance,cpu_emulated_fallback
1y,aggr_adapt_t10_tr2_rv14_b85_m8_M30,S3_anchor_off,82435.44985088505,724.3544985088505,36.859360006958134,273,1.295939346688101,129.5939346688101,1,82435.44985088505,724.3544985088505,36.859360006958134,273,0.0,10000.0,2025-03-19,2026-03-19,yfinance,cpu_emulated_fallback
1y,aggr_adapt_t10_tr2_rv14_b85_m8_M30,S4_zero_costs,83156.74404739696,731.5674404739696,36.82146425524736,268,8.508881311807158,850.8881311807199,-4,83156.74404739696,731.5674404739696,36.82146425524736,268,0.0,10000.0,2025-03-19,2026-03-19,yfinance,cpu_emulated_fallback
